Year,Trial,YearTrial,Treatment,ID,Mass,Stage
2023,1,20231,Top,19,1.3452,Pupa
2023,2,20232,Top,56,1.3455,Pupa
2023,1,20231,Top,36,1.3468,Pupa
2023,2,20232,Top,22,1.3475,Pupa
2023,2,20232,Top,3,1.4036,Pupa
2023,1,20231,Top,16,1.4207,Pupa
2023,2,20232,Top,28,1.4338,Pupa
2023,2,20232,Top,15,1.481,Pupa
2024,1,20241,Bottom,7,0.5436,Pupa
2024,1,20241,Bottom,13,0.6049,Pupa
2024,1,20241,Bottom,8,0.8107,Pupa
2024,2,20242,Bottom,4,0.8135,Pupa
2024,2,20242,Bottom,38,0.8239,Pupa
2023,2,20232,Bottom,58,0.8519,Pupa
2023,1,20231,Bottom,59,0.8614,Pupa
2024,1,20241,Bottom,10,0.8693,Pupa
2024,2,20242,Bottom,14,0.8732,Pupa
2024,1,20241,Bottom,1,0.8799,Pupa
2024,2,20242,Bottom,10,0.8848,Pupa
2024,2,20242,Bottom,47,0.8851,Pupa
2024,1,20241,Bottom,45,0.8907,Pupa
2024,2,20242,Bottom,6,0.9012,Pupa
2024,2,20242,Bottom,50,0.9061,Pupa
2024,2,20242,Bottom,59,0.9193,Pupa
2024,2,20242,Bottom,46,0.928,Pupa
2023,1,20231,Bottom,33,0.9338,Pupa
2023,1,20231,Bottom,55,0.9354,Pupa
2024,1,20241,Bottom,11,0.9374,Pupa
2024,1,20241,Bottom,39,0.9383,Pupa
2024,2,20242,Bottom,16,0.9455,Pupa
2024,2,20242,Bottom,29,0.956,Pupa
2024,2,20242,Bottom,31,0.9563,Pupa
2023,1,20231,Bottom,18,0.959,Pupa
2024,2,20242,Bottom,33,0.9601,Pupa
2024,1,20241,Bottom,46,0.9613,Pupa
2024,1,20241,Bottom,41,0.9647,Pupa
2024,1,20241,Bottom,9,0.9673,Pupa
2024,1,20241,Bottom,19,0.9693,Pupa
2024,1,20241,Bottom,16,0.9726,Pupa
2023,1,20231,Bottom,53,0.9855,Pupa
2023,1,20231,Bottom,49,0.9895,Pupa
