Sample,Plant,Description,Leaf,NitrogenPerc
1,1,old,Bottom,3.019
2,2,old,Bottom,3.033
3,3,old,Bottom,3.044
4,4,old,Bottom,3.047
5,5,old,Bottom,3.053
6,6,old,Bottom,3.065
7,7,old,Bottom,3.074
8,8,old,Bottom,3.093
9,9,old,Bottom,3.102
10,10,old,Bottom,3.145
11,1,new,Top,4.629
12,2,new,Top,4.648
13,3,new,Top,4.691
14,4,new,Top,4.707
15,5,new,Top,4.717
16,6,new,Top,4.718
17,7,new,Top,5
19,8,new,Top,5.022
19,9,new,Top,5.031
20,10,new,Top,5.08
