Year,Trial,YearTrial,Treatment,ID,SixDayMass
2023,2,20232,Bottom,8,0.0486
2024,1,20241,Bottom,57,0.049
2023,2,20232,Bottom,56,0.0497
2024,2,20242,Bottom,51,0.0504
2023,2,20232,Bottom,54,0.0511
2024,2,20242,Bottom,59,0.0516
2024,2,20242,Bottom,14,0.0536
2024,2,20242,Bottom,50,0.0546
2023,2,20232,Bottom,33,0.055
2023,2,20232,Bottom,52,0.0572
2024,2,20242,Bottom,10,0.059
2023,2,20232,Bottom,51,0.0594
2024,2,20242,Bottom,44,0.0598
2024,2,20242,Bottom,47,0.0604
2023,2,20232,Bottom,59,0.0629
2024,1,20241,Bottom,30,0.065
2024,1,20241,Bottom,6,0.0653
2024,2,20242,Bottom,19,0.0679
2024,1,20241,Bottom,18,0.0683
2023,2,20232,Bottom,13,0.0692
2024,1,20241,Bottom,11,0.0696
2024,1,20241,Bottom,13,0.0704
2024,2,20242,Bottom,41,0.0714
2024,1,20241,Bottom,24,0.0728
2024,2,20242,Bottom,57,0.0729
2024,2,20242,Bottom,56,0.0732
2024,2,20242,Bottom,32,0.0736
2024,2,20242,Bottom,5,0.0757
2024,1,20241,Bottom,43,0.0783
2024,2,20242,Bottom,15,0.0798
2024,2,20242,Bottom,42,0.081
2024,2,20242,Bottom,48,0.0823
2024,2,20242,Bottom,53,0.0843
2024,1,20241,Bottom,31,0.0845
2024,2,20242,Bottom,54,0.0849
2024,2,20242,Bottom,24,0.0858
2024,1,20241,Bottom,46,0.0866
2023,2,20232,Bottom,43,0.0894
2024,1,20241,Bottom,1,0.0914
2024,2,20242,Bottom,49,0.0941
2024,1,20241,Bottom,16,0.0943
2024,2,20242,Bottom,35,0.095
2024,1,20241,Bottom,19,0.0959
2024,2,20242,Bottom,27,0.0978
2024,2,20242,Bottom,7,0.1021
2024,1,20241,Bottom,10,0.103
2024,2,20242,Bottom,31,0.1083
2024,2,20242,Bottom,29,0.11
2024,2,20242,Bottom,52,0.1103
2024,1,20241,Bottom,2,0.1119
2024,1,20241,Bottom,23,0.1144
2024,1,20241,Bottom,44,0.1148
2024,2,20242,Bottom,11,0.1152
2024,1,20241,Bottom,34,0.1162
2024,2,20242,Bottom,17,0.1201
2024,1,20241,Bottom,40,0.1202
2024,1,20241,Bottom,21,0.1221
2024,1,20241,Bottom,58,0.1267
2024,1,20241,Bottom,60,0.1277
2024,2,20242,Bottom,12,0.1281
2024,1,20241,Bottom,7,0.1282
2024,2,20242,Bottom,9,0.1296
2024,1,20241,Bottom,8,0.1318
